First name,Sur name,Issue count,Date of birth
Fiona,Johnson,22,1935-11-29T00:00:00
Fiona,Smith,18,1958-08-26T00:00:00
Fiona,Smith,21,1958-08-26T00:00:00
John,Williams,12,2016-12-25T00:00:00
Fiona,Brown,12,1989-08-12T00:00:00
Fiona,Smith,28,1958-08-26T00:00:00
Emma,Miller,5,1921-11-27T00:00:00
Emma,Miller,49,1921-11-27T00:00:00
Theo,Smith,49,1970-12-25T00:00:00
Fiona,Smith,46,1958-08-26T00:00:00
John,Williams,37,2016-12-25T00:00:00
Fiona,Jones,46,1916-04-11T00:00:00
Fiona,Brown,6,1989-08-12T00:00:00
Emma,Miller,29,1921-11-27T00:00:00
Fiona,Johnson,24,1935-11-29T00:00:00
Fiona,Johnson,32,1935-11-29T00:00:00
James,Brown,35,1912-09-10T00:00:00
John,Williams,6,2016-12-25T00:00:00
Theo,Smith,47,1970-12-25T00:00:00
Fiona,Brown,4,1989-08-12T00:00:00
James,Brown,42,1912-09-10T00:00:00
Fiona,Brown,30,1989-08-12T00:00:00
James,Brown,29,1912-09-10T00:00:00
Theo,Smith,34,1970-12-25T00:00:00
Theo,Williams,3,1902-02-26T00:00:00
John,Williams,31,2016-12-25T00:00:00
John,Williams,17,2016-12-25T00:00:00
Emma,Miller,37,1921-11-27T00:00:00
Theo,Williams,30,1902-02-26T00:00:00
Emma,Miller,23,1921-11-27T00:00:00
Fiona,Brown,40,1989-08-12T00:00:00
Theo,Williams,30,1902-02-26T00:00:00
Fiona,Smith,16,1958-08-26T00:00:00
James,Brown,25,1912-09-10T00:00:00
Theo,Smith,14,1970-12-25T00:00:00
Theo,Williams,13,1902-02-26T00:00:00
Fiona,Smith,3,1958-08-26T00:00:00
James,Brown,1,1912-09-10T00:00:00
Fiona,Brown,42,1989-08-12T00:00:00
Noah,Miller,25,1906-02-10T00:00:00
Noah,Miller,23,1906-02-10T00:00:00
Fiona,Jones,27,1916-04-11T00:00:00
Theo,Williams,26,1902-02-26T00:00:00
Theo,Smith,47,1970-12-25T00:00:00
Fiona,Johnson,50,1935-11-29T00:00:00
Fiona,Jones,3,1916-04-11T00:00:00
John,Williams,2,2016-12-25T00:00:00
John,Williams,39,2016-12-25T00:00:00
Theo,Smith,25,1970-12-25T00:00:00
James,Brown,42,1912-09-10T00:00:00
James,Brown,37,1912-09-10T00:00:00
Fiona,Brown,12,1989-08-12T00:00:00
Fiona,Brown,36,1989-08-12T00:00:00
Emma,Miller,45,1921-11-27T00:00:00
Theo,Williams,36,1902-02-26T00:00:00
Noah,Miller,48,1906-02-10T00:00:00
James,Brown,13,1912-09-10T00:00:00
Fiona,Jones,24,1916-04-11T00:00:00
Emma,Miller,11,1921-11-27T00:00:00
Noah,Miller,21,1906-02-10T00:00:00
Emma,Miller,1,1921-11-27T00:00:00
Theo,Smith,35,1970-12-25T00:00:00
Fiona,Smith,37,1958-08-26T00:00:00
James,Brown,6,1912-09-10T00:00:00
Theo,Williams,18,1902-02-26T00:00:00
John,Williams,1,2016-12-25T00:00:00
Fiona,Jones,13,1916-04-11T00:00:00
Fiona,Jones,26,1916-04-11T00:00:00
Fiona,Brown,6,1989-08-12T00:00:00
Fiona,Johnson,19,1935-11-29T00:00:00
Emma,Miller,50,1921-11-27T00:00:00
Fiona,Jones,39,1916-04-11T00:00:00
Theo,Smith,17,1970-12-25T00:00:00
Fiona,Jones,27,1916-04-11T00:00:00
Emma,Miller,10,1921-11-27T00:00:00
Fiona,Brown,36,1989-08-12T00:00:00
Theo,Smith,36,1970-12-25T00:00:00
Fiona,Smith,46,1958-08-26T00:00:00
James,Brown,20,1912-09-10T00:00:00
Fiona,Jones,46,1916-04-11T00:00:00
Theo,Smith,1,1970-12-25T00:00:00
James,Brown,41,1912-09-10T00:00:00
Noah,Miller,40,1906-02-10T00:00:00
John,Williams,29,2016-12-25T00:00:00
Emma,Miller,36,1921-11-27T00:00:00
James,Brown,32,1912-09-10T00:00:00
Fiona,Smith,12,1958-08-26T00:00:00
James,Brown,20,1912-09-10T00:00:00
Emma,Miller,20,1921-11-27T00:00:00
Theo,Smith,46,1970-12-25T00:00:00
Fiona,Smith,33,1958-08-26T00:00:00
Noah,Miller,7,1906-02-10T00:00:00
Fiona,Johnson,37,1935-11-29T00:00:00
Fiona,Brown,32,1989-08-12T00:00:00
Noah,Miller,41,1906-02-10T00:00:00
John,Williams,48,2016-12-25T00:00:00
James,Brown,12,1912-09-10T00:00:00
Fiona,Jones,50,1916-04-11T00:00:00
James,Brown,48,1912-09-10T00:00:00
Emma,Miller,37,1921-11-27T00:00:00
Fiona,Johnson,16,1935-11-29T00:00:00
Fiona,Smith,31,1958-08-26T00:00:00
Theo,Williams,19,1902-02-26T00:00:00
James,Brown,15,1912-09-10T00:00:00
James,Brown,32,1912-09-10T00:00:00
Fiona,Brown,7,1989-08-12T00:00:00
James,Brown,24,1912-09-10T00:00:00
Fiona,Brown,9,1989-08-12T00:00:00
Fiona,Jones,16,1916-04-11T00:00:00
Emma,Miller,35,1921-11-27T00:00:00
Fiona,Johnson,2,1935-11-29T00:00:00
Fiona,Brown,24,1989-08-12T00:00:00
Theo,Smith,4,1970-12-25T00:00:00
Fiona,Johnson,17,1935-11-29T00:00:00
Fiona,Brown,16,1989-08-12T00:00:00
Fiona,Johnson,28,1935-11-29T00:00:00
Fiona,Johnson,33,1935-11-29T00:00:00
Fiona,Johnson,16,1935-11-29T00:00:00
Fiona,Jones,20,1916-04-11T00:00:00
Theo,Smith,31,1970-12-25T00:00:00
Fiona,Johnson,14,1935-11-29T00:00:00
Fiona,Jones,32,1916-04-11T00:00:00
Fiona,Johnson,45,1935-11-29T00:00:00
Theo,Smith,21,1970-12-25T00:00:00
James,Brown,2,1912-09-10T00:00:00
Noah,Miller,35,1906-02-10T00:00:00
James,Brown,29,1912-09-10T00:00:00
James,Brown,27,1912-09-10T00:00:00
John,Williams,29,2016-12-25T00:00:00
Fiona,Johnson,8,1935-11-29T00:00:00
Theo,Smith,15,1970-12-25T00:00:00
Emma,Miller,34,1921-11-27T00:00:00
Noah,Miller,47,1906-02-10T00:00:00
John,Williams,42,2016-12-25T00:00:00
Theo,Smith,35,1970-12-25T00:00:00
James,Brown,18,1912-09-10T00:00:00
Noah,Miller,7,1906-02-10T00:00:00
Theo,Williams,8,1902-02-26T00:00:00
Fiona,Brown,8,1989-08-12T00:00:00
Theo,Smith,49,1970-12-25T00:00:00
Fiona,Smith,13,1958-08-26T00:00:00
Fiona,Brown,20,1989-08-12T00:00:00
Theo,Smith,45,1970-12-25T00:00:00
James,Brown,12,1912-09-10T00:00:00
James,Brown,25,1912-09-10T00:00:00
Emma,Miller,10,1921-11-27T00:00:00
John,Williams,43,2016-12-25T00:00:00
John,Williams,49,2016-12-25T00:00:00
James,Brown,24,1912-09-10T00:00:00
James,Brown,45,1912-09-10T00:00:00
Fiona,Jones,7,1916-04-11T00:00:00
Theo,Williams,17,1902-02-26T00:00:00
Theo,Williams,43,1902-02-26T00:00:00
Fiona,Smith,45,1958-08-26T00:00:00
James,Brown,49,1912-09-10T00:00:00
Fiona,Brown,50,1989-08-12T00:00:00
Fiona,Jones,46,1916-04-11T00:00:00
Fiona,Smith,42,1958-08-26T00:00:00
James,Brown,31,1912-09-10T00:00:00
Noah,Miller,14,1906-02-10T00:00:00
Fiona,Smith,25,1958-08-26T00:00:00
Noah,Miller,17,1906-02-10T00:00:00
James,Brown,22,1912-09-10T00:00:00
John,Williams,44,2016-12-25T00:00:00
Theo,Williams,19,1902-02-26T00:00:00
Fiona,Smith,1,1958-08-26T00:00:00
Emma,Miller,39,1921-11-27T00:00:00
Theo,Williams,1,1902-02-26T00:00:00
James,Brown,39,1912-09-10T00:00:00
Theo,Smith,36,1970-12-25T00:00:00
Theo,Smith,43,1970-12-25T00:00:00
Fiona,Jones,3,1916-04-11T00:00:00
Theo,Williams,2,1902-02-26T00:00:00
Noah,Miller,6,1906-02-10T00:00:00
Fiona,Jones,43,1916-04-11T00:00:00
Theo,Williams,18,1902-02-26T00:00:00
Fiona,Jones,48,1916-04-11T00:00:00
James,Brown,26,1912-09-10T00:00:00
Theo,Williams,12,1902-02-26T00:00:00
Noah,Miller,37,1906-02-10T00:00:00
Theo,Smith,46,1970-12-25T00:00:00
Theo,Williams,21,1902-02-26T00:00:00
Theo,Williams,35,1902-02-26T00:00:00
John,Williams,11,2016-12-25T00:00:00
Fiona,Johnson,17,1935-11-29T00:00:00
Fiona,Johnson,35,1935-11-29T00:00:00
Fiona,Jones,2,1916-04-11T00:00:00
Theo,Smith,34,1970-12-25T00:00:00
Emma,Miller,27,1921-11-27T00:00:00
Noah,Miller,5,1906-02-10T00:00:00
Fiona,Brown,20,1989-08-12T00:00:00
James,Brown,13,1912-09-10T00:00:00
Fiona,Brown,18,1989-08-12T00:00:00
Noah,Miller,41,1906-02-10T00:00:00
Fiona,Brown,9,1989-08-12T00:00:00
John,Williams,13,2016-12-25T00:00:00
Fiona,Jones,35,1916-04-11T00:00:00
Emma,Miller,19,1921-11-27T00:00:00
Fiona,Johnson,30,1935-11-29T00:00:00
Fiona,Brown,35,1989-08-12T00:00:00
Emma,Miller,5,1921-11-27T00:00:00
Fiona,Jones,38,1916-04-11T00:00:00
Theo,Williams,37,1902-02-26T00:00:00
Emma,Miller,10,1921-11-27T00:00:00
Noah,Miller,4,1906-02-10T00:00:00
Noah,Miller,38,1906-02-10T00:00:00
Theo,Williams,36,1902-02-26T00:00:00
Emma,Miller,23,1921-11-27T00:00:00
Fiona,Smith,3,1958-08-26T00:00:00
Fiona,Brown,19,1989-08-12T00:00:00
Fiona,Smith,20,1958-08-26T00:00:00
Emma,Miller,11,1921-11-27T00:00:00
Fiona,Johnson,15,1935-11-29T00:00:00
Emma,Miller,2,1921-11-27T00:00:00
Fiona,Brown,24,1989-08-12T00:00:00
Fiona,Johnson,41,1935-11-29T00:00:00
Fiona,Smith,13,1958-08-26T00:00:00
Fiona,Smith,45,1958-08-26T00:00:00
Fiona,Brown,23,1989-08-12T00:00:00
Fiona,Johnson,23,1935-11-29T00:00:00
Theo,Smith,11,1970-12-25T00:00:00
Fiona,Smith,15,1958-08-26T00:00:00
James,Brown,40,1912-09-10T00:00:00
John,Williams,13,2016-12-25T00:00:00
Noah,Miller,26,1906-02-10T00:00:00
John,Williams,12,2016-12-25T00:00:00
Theo,Williams,4,1902-02-26T00:00:00
Fiona,Johnson,45,1935-11-29T00:00:00
Emma,Miller,25,1921-11-27T00:00:00
Theo,Williams,43,1902-02-26T00:00:00
Fiona,Smith,12,1958-08-26T00:00:00
Fiona,Johnson,1,1935-11-29T00:00:00
Emma,Miller,9,1921-11-27T00:00:00
Fiona,Jones,24,1916-04-11T00:00:00
John,Williams,19,2016-12-25T00:00:00
Fiona,Brown,18,1989-08-12T00:00:00
Fiona,Brown,29,1989-08-12T00:00:00
Fiona,Johnson,25,1935-11-29T00:00:00
Fiona,Smith,24,1958-08-26T00:00:00
Fiona,Smith,23,1958-08-26T00:00:00
Noah,Miller,9,1906-02-10T00:00:00
John,Williams,6,2016-12-25T00:00:00
James,Brown,32,1912-09-10T00:00:00
Noah,Miller,47,1906-02-10T00:00:00
Theo,Smith,44,1970-12-25T00:00:00
Emma,Miller,8,1921-11-27T00:00:00
John,Williams,39,2016-12-25T00:00:00
Fiona,Brown,46,1989-08-12T00:00:00
Fiona,Brown,30,1989-08-12T00:00:00
James,Brown,4,1912-09-10T00:00:00
Fiona,Jones,35,1916-04-11T00:00:00
Emma,Miller,4,1921-11-27T00:00:00
Fiona,Smith,11,1958-08-26T00:00:00
Fiona,Jones,15,1916-04-11T00:00:00
John,Williams,49,2016-12-25T00:00:00
Theo,Williams,44,1902-02-26T00:00:00
Fiona,Jones,48,1916-04-11T00:00:00
John,Williams,39,2016-12-25T00:00:00
James,Brown,42,1912-09-10T00:00:00
Fiona,Brown,31,1989-08-12T00:00:00
Fiona,Jones,17,1916-04-11T00:00:00
Emma,Miller,1,1921-11-27T00:00:00
John,Williams,24,2016-12-25T00:00:00
Fiona,Smith,49,1958-08-26T00:00:00
Theo,Williams,23,1902-02-26T00:00:00
Noah,Miller,43,1906-02-10T00:00:00
James,Brown,20,1912-09-10T00:00:00
Fiona,Johnson,40,1935-11-29T00:00:00
Theo,Williams,1,1902-02-26T00:00:00
Noah,Miller,28,1906-02-10T00:00:00
Emma,Miller,42,1921-11-27T00:00:00
Emma,Miller,8,1921-11-27T00:00:00
Fiona,Jones,18,1916-04-11T00:00:00
Fiona,Johnson,30,1935-11-29T00:00:00
Theo,Smith,37,1970-12-25T00:00:00
Fiona,Jones,1,1916-04-11T00:00:00
Fiona,Jones,29,1916-04-11T00:00:00
Fiona,Jones,8,1916-04-11T00:00:00
Fiona,Jones,5,1916-04-11T00:00:00
Theo,Smith,34,1970-12-25T00:00:00
Fiona,Johnson,6,1935-11-29T00:00:00
Theo,Williams,16,1902-02-26T00:00:00
Fiona,Brown,3,1989-08-12T00:00:00
Fiona,Smith,47,1958-08-26T00:00:00
Fiona,Smith,36,1958-08-26T00:00:00
Emma,Miller,37,1921-11-27T00:00:00
Theo,Williams,49,1902-02-26T00:00:00
James,Brown,20,1912-09-10T00:00:00
Fiona,Brown,1,1989-08-12T00:00:00
Theo,Williams,47,1902-02-26T00:00:00
Noah,Miller,25,1906-02-10T00:00:00
Fiona,Brown,9,1989-08-12T00:00:00
Fiona,Brown,42,1989-08-12T00:00:00
Theo,Williams,29,1902-02-26T00:00:00
Fiona,Brown,29,1989-08-12T00:00:00
Fiona,Smith,4,1958-08-26T00:00:00
Emma,Miller,37,1921-11-27T00:00:00
Fiona,Johnson,18,1935-11-29T00:00:00
Noah,Miller,35,1906-02-10T00:00:00
James,Brown,21,1912-09-10T00:00:00
Fiona,Smith,6,1958-08-26T00:00:00
Fiona,Smith,40,1958-08-26T00:00:00
Noah,Miller,41,1906-02-10T00:00:00
Theo,Smith,17,1970-12-25T00:00:00
Emma,Miller,7,1921-11-27T00:00:00
Theo,Smith,24,1970-12-25T00:00:00
Fiona,Jones,38,1916-04-11T00:00:00
Fiona,Brown,28,1989-08-12T00:00:00
Theo,Smith,25,1970-12-25T00:00:00
Noah,Miller,9,1906-02-10T00:00:00
Theo,Smith,35,1970-12-25T00:00:00
John,Williams,16,2016-12-25T00:00:00
Theo,Smith,15,1970-12-25T00:00:00
Emma,Miller,32,1921-11-27T00:00:00
John,Williams,4,2016-12-25T00:00:00
Theo,Smith,15,1970-12-25T00:00:00
Fiona,Smith,19,1958-08-26T00:00:00
Fiona,Jones,13,1916-04-11T00:00:00
Fiona,Smith,42,1958-08-26T00:00:00
Theo,Williams,29,1902-02-26T00:00:00
Fiona,Jones,30,1916-04-11T00:00:00
Theo,Smith,27,1970-12-25T00:00:00
Emma,Miller,39,1921-11-27T00:00:00
Fiona,Brown,37,1989-08-12T00:00:00
Fiona,Smith,45,1958-08-26T00:00:00
Fiona,Smith,11,1958-08-26T00:00:00
James,Brown,45,1912-09-10T00:00:00
Fiona,Brown,30,1989-08-12T00:00:00
Emma,Miller,21,1921-11-27T00:00:00
Fiona,Johnson,12,1935-11-29T00:00:00
Theo,Williams,50,1902-02-26T00:00:00
James,Brown,6,1912-09-10T00:00:00
Theo,Smith,13,1970-12-25T00:00:00
Fiona,Smith,15,1958-08-26T00:00:00
Fiona,Johnson,45,1935-11-29T00:00:00
John,Williams,22,2016-12-25T00:00:00
Theo,Smith,28,1970-12-25T00:00:00
Noah,Miller,49,1906-02-10T00:00:00
Theo,Williams,18,1902-02-26T00:00:00
Emma,Miller,29,1921-11-27T00:00:00
Emma,Miller,17,1921-11-27T00:00:00
Theo,Williams,27,1902-02-26T00:00:00
Noah,Miller,35,1906-02-10T00:00:00
James,Brown,1,1912-09-10T00:00:00
Emma,Miller,45,1921-11-27T00:00:00
James,Brown,12,1912-09-10T00:00:00
Fiona,Jones,11,1916-04-11T00:00:00
James,Brown,4,1912-09-10T00:00:00
Fiona,Jones,12,1916-04-11T00:00:00
Emma,Miller,35,1921-11-27T00:00:00
Theo,Williams,43,1902-02-26T00:00:00
Theo,Smith,13,1970-12-25T00:00:00
Emma,Miller,17,1921-11-27T00:00:00
Fiona,Johnson,39,1935-11-29T00:00:00
Fiona,Jones,47,1916-04-11T00:00:00
Noah,Miller,26,1906-02-10T00:00:00
Fiona,Brown,30,1989-08-12T00:00:00
John,Williams,15,2016-12-25T00:00:00
Fiona,Jones,23,1916-04-11T00:00:00
Theo,Smith,42,1970-12-25T00:00:00
Fiona,Jones,40,1916-04-11T00:00:00
Theo,Williams,21,1902-02-26T00:00:00
Fiona,Jones,14,1916-04-11T00:00:00
